   SH_degree    SH_order         g(nT)          h(nT)
           1           0  -1304.8818809601976        0.0000000000000000     
           1           1   803.87564962866077        200.55764345872151     
           2           0  -278.09137654785377        0.0000000000000000     
           2           1   2433.1098388568744       -240.89817988941604     
           2           2  -65.707850156754716       -242.50995619782407     
           3           0   1325.5249785349538        0.0000000000000000     
           3           1   2573.6878058086431        1550.3322732905328     
           3           2  -511.09809630602996       -305.35529497850678     
           3           3   418.28733912710129        643.50689397688484     
           4           0  -5.1795006505629715        0.0000000000000000     
           4           1  -147.63618759089138       -5.0816306699560840     
           4           2  -1.7372813903307094        576.33277013853331     
           4           3   639.55468060737064        571.66164323982400     
           4           4   431.84099154604348        184.01904805459353     
           5           0  -184.23557249434802        0.0000000000000000     
           5           1  -21.885860153927094        254.49041662504288     
           5           2  -334.63039662365787       -74.677592953715660     
           5           3  -220.23404794160172        250.02637067131855     
           5           4   349.87920508829035        250.81252652933665     
           5           5   21.990797516086339       -105.06260711147733     
           6           0   1.9651893207412008        0.0000000000000000     
           6           1  -44.943470209462077        72.132730301495712     
           6           2   50.589554480044150        80.921798512267699     
           6           3  -38.637153887016431        68.477676641802020     
           6           4   2.6568992353826402        38.693998321732188     
           6           5   36.632223422273199        20.187095383774711     
           6           6  -25.541735334452113       -33.126415282931688     
           7           0   8.3487513413253041        0.0000000000000000     
           7           1  -13.181499035736369       -1.9730267229337635     
           7           2   2.0582608957512418        21.052494575852396     
           7           3 -0.21826570154716946        19.046567447648950     
           7           4   20.450652802327681        35.831936049435072     
           7           5   7.8554064884864632       -14.330374383887836     
           7           6  -9.9593182489669339        2.0243840322673456     
           7           7  -9.5665161990057506        2.1681320210655279     
           8           0   2.9832226889575959        0.0000000000000000     
           8           1  0.86711097550621785       -1.0379525028222965     
           8           2   1.1351145381336076        2.8175091227020053     
           8           3 -0.32230870130517958        1.5110281339503557     
           8           4  -2.7962465734036948        2.9465927686003024     
           8           5   4.3545062825805783        3.4143451395320472     
           8           6  -1.3641201962816905       -4.5061176054936842     
           8           7  -4.4094406784418387        3.4009590903343581     
           8           8   1.6033787510674621E-002   1.4019416013661268     
           9           0  0.74383160948196614        0.0000000000000000     
           9           1  0.48373572240915774       -1.1610023098039397     
           9           2  0.84759774613605277       0.82662265083277175     
           9           3   1.5513955419034833       0.36583175738147156     
           9           4  0.31239289490971511       0.43504357285498152     
           9           5 -0.27818189716030223      -0.60721754624904467     
           9           6 -0.50478943065734305       0.35086944754390564     
           9           7  -1.1789996188196692      -0.43865307922468139     
           9           8 -0.36894220974843805        1.2264462993257710     
           9           9  0.70952873043057041      -0.11795917051654460     
          10           0  -6.7793108886903500E-002   0.0000000000000000     
          10           1  0.27716063234848431      -0.37641344403725235     
          10           2 -0.37194982001480081      -0.32080495271396164     
          10           3  0.28651158325917198        3.1299566033914657E-002
          10           4  0.10592406322590411      -0.11531493230435592     
          10           5   3.1768624277183841E-002  0.11977904624797320     
          10           6  0.12195104802334980      -0.14296072715220934     
          10           7 -0.45206620043190332        8.0906084427109295E-002
          10           8  -8.5303323597311909E-002  0.18429482310672976     
          10           9  0.15725675735946071        9.4443850970795853E-003
          10          10   6.1015541319720409E-002 -0.11360781458835612     
